"","Name","Flag"
"1132","Mattock",1
"1133","Maul",1
"1134","Meadow",1
"1135","Meah",1
"1136","Meals",1
"1137","Mearah",1
"1138","Measure",1
"1139","Mekonah",1
"1140","Melchi",1
"1141","Melchizedek",1
"1142","Melea",1
"1143","Melech",1
"1144","Melita",1
"1145","Melzar",1
"1146","Memphis",1
"1147","Merab",1
"1148","Mercurius",1
"1149","Mercy",1
"1150","Mered",1
"1151","Meremoth",1
"1152","Meroz",1
"1153","Mesha",1
"1154","Meshach",1
"1155","Micah",1
"1156","Micha",1
"1157","Michael",1
"1158","Michal",1
"1159","Mildew",1
"1160","Mile",1
"1161","Mill",1
"1162","Millet",1
"1163","Millo",1
"1164","Minni",1
"1165","Minstrel",1
"1166","Mint",1
"1167","Miracle",1
"1168","Miriam",1
"1169","Misdeem",1
"1170","Mishael",1
"1171","Mishal",1
"1172","Misham",1
"1173","Misheal",1
"1174","Mishma",1
"1175","Moab",1
"1176","Moloch",1
"1177","Money",1
"1178","Moon",1
"1179","Mordecai",1
"1180","Moreh",1
"1181","Moriah",1
"1182","Mortar",1
"1183","Mosera",1
"1184","Moseroth",1
"1185","Moses",1
"1186","Mote",1
"1187","Moza",1
"1188","Mozah",1
"1189","Mulberry",1
"1190","Music",1
"1191","Mustard",1
"1192","Myra",1
"1193","Myrrh",1
"1194","Myrtle",1
"1195","Mysia",1
"1196","Mystery",1
"1197","Nahath",1
"1198","Nahbi",1
"1199","Nahor",1
"1200","Nahshon",1
"1201","Nahum",1
"1202","Naomi",1
"1203","Naphish",1
"1204","Naphtali",1
"1205","Napkin",1
"1206","Narcissus",1
"1207","Nathan",1
"1208","Nathanael",1
"1209","Neah",1
"1210","Nebo",1
"1211","Nebuchadnezzar",1
"1212","Neck",1
"1213","Necromancer",1
"1214","Needle",1
"1215","Nehemiah",1
"1216","Nekeb",1
"1217","Nemuel",1
"1218","Nephilim",1
"1219","Ner",1
"1220","Nereus",1
"1221","Nergal",1
"1222","Nero",1
"1223","Net",1
"1224","Nethaneel",1
"1225","Nethaniah",1
"1226","Nethinim",1
"1227","Netophah",1
"1228","Nicodemus",1
"1229","Nicolas",1
"1230","Nimrah",1
"1231","Nimrim",1
"1232","Noadiah",1
"1233","Noah",1
"1234","Nod",1
"1235","Nophah",1
"1236","North",1
"1237","Nun",1
"1238","Nymphas",1
"1239","Oak",1
"1240","Oath",1
"1241","Obadiah",1
"1242","Oded",1
"1243","Ohad",1
"1244","Olive",1
"1245","Olympas",1
"1246","Omar",1
"1247","Omega",1
"1248","Omer",1
"1249","Omri",1
"1250","On",1
"1251","Ophrah",1
"1252","Oracle",1
"1253","Oreb",1
"1254","Oren",1
"1255","Organ",1
"1256","Orion",1
"1257","Ornan",1
"1258","Orpah",1
"1259","Orphans",1
"1260","Osprey",1
"1261","Ostrich",1
"1262","Ouches",1
"1263","Oven",1
"1264","Owl",1
"1265","Ox",1
"1266","Ozias",1
"1267","Ozni",1
"1268","Paarai",1
"1269","Padan",1
"1270","Padan-aram",1
"1271","Pagiel",1
"1272","Pahath-moab",1
"1273","Paint",1
"1274","Palace",1
"1275","Palestine",1
"1276","Pallu",1
"1277","Palmer-worm",1
"1278","Palm tree",1
"1279","Palm trees, The city of",1
"1280","Palsy",1
"1281","Palti",1
"1282","Paltiel",1
"1283","Paltite",1
"1284","Pamphylia",1
"1285","Pan",1
"1286","Pannag",1
"1287","Paper",1
"1288","Paphos",1
"1289","Parable",1
"1290","Paradise",1
"1291","Parah",1
"1292","Paran",1
"1293","Paran, Mount",1
"1294","Parbar",1
"1295","Parched ground",1
"1296","Parchment",1
"1297","Pardon",1
"1298","Parlour",1
"1299","Parmashta",1
"1300","Parmenas",1
"1301","Parshandatha",1
"1302","Parthians",1
"1303","Partridge",1
"1304","Paruah",1
"1305","Parvaim",1
"1306","Pasach",1
"1307","Pas-dammim",1
"1308","Pashur",1
"1309","Passage",1
"1310","Passion",1
"1311","Passover",1
"1312","Patara",1
"1313","Pathros",1
"1314","Patmos",1
"1315","Patriarch",1
"1316","Patrobas",1
"1317","Pau",1
"1318","Paul",1
"1319","Pavement",1
"1320","Pavilion",1
"1321","Peace offerings",1
"1322","Peacock",1
"1323","Pearl",1
"1324","Peculiar",1
"1325","Pedahel",1
"1326","Pedahzur",1
"1327","Pedaiah",1
"1328","Pekah",1
"1329","Pekahiah",1
"1330","Pekod",1
"1331","Pelaiah",1
"1332","Pelatiah",1
"1333","Peleg",1
"1334","Pelet",1
"1335","Peleth",1
"1336","Pelethites",1
"1337","Pelicans",1
"1338","Penny",1
"1339","Pentateuch",1
"1340","Pentecost",1
"1341","Penuel",1
"1342","Peor",1
"1343","Perazim, Mount",1
"1344","Peres",1
"1345","Perez",1
"1346","Perez-uzzah",1
"1347","Perfection",1
"1348","Perfumes",1
"1349","Perga",1
"1350","Pergamos",1
"1351","Perida",1
"1352","Perizzites",1
"1353","Persecution",1
"1354","Perseverance of the saints",1
"1355","Persia",1
"1356","Persis",1
"1357","Peruda",1
"1358","Peter",1
"1359","Peter, First Epistle of",1
"1360","Peter, Second Epistle of",1
"1361","Pethahiah",1
"1362","Pethor",1
"1363","Pethuel",1
"1364","Petra",1
"1365","Peulthai",1
"1366","Phalec",1
"1367","Phallu",1
"1368","Phalti",1
"1369","Phanuel",1
